event ID: 4274	scintillation events:1569	Cerenkov events: 43
event ID: 27409	scintillation events:2576	Cerenkov events: 78
event ID: 27609	scintillation events:563	Cerenkov events: 4
event ID: 42177	scintillation events:1911	Cerenkov events: 46
event ID: 42195	scintillation events:142	Cerenkov events: 0
event ID: 63203	scintillation events:6033	Cerenkov events: 120
event ID: 63229	scintillation events:128	Cerenkov events: 0
event ID: 80736	scintillation events:973	Cerenkov events: 26
event ID: 89672	scintillation events:2175	Cerenkov events: 66
event ID: 89850	scintillation events:282	Cerenkov events: 11
event ID: 93889	scintillation events:16	Cerenkov events: 0
event ID: 94053	scintillation events:121	Cerenkov events: 0
event ID: 141581	scintillation events:373	Cerenkov events: 0
event ID: 156219	scintillation events:1865	Cerenkov events: 39
event ID: 160470	scintillation events:1689	Cerenkov events: 58
event ID: 184084	scintillation events:5668	Cerenkov events: 149
event ID: 206393	scintillation events:2199	Cerenkov events: 61
event ID: 221204	scintillation events:1764	Cerenkov events: 44
event ID: 221295	scintillation events:5168	Cerenkov events: 104
event ID: 234381	scintillation events:165	Cerenkov events: 0
event ID: 269495	scintillation events:241	Cerenkov events: 14
event ID: 278053	scintillation events:222	Cerenkov events: 7
event ID: 303350	scintillation events:4814	Cerenkov events: 114
event ID: 317573	scintillation events:28	Cerenkov events: 0
event ID: 332840	scintillation events:200	Cerenkov events: 0
event ID: 332883	scintillation events:2495	Cerenkov events: 69
event ID: 350536	scintillation events:1295	Cerenkov events: 9
event ID: 360309	scintillation events:2164	Cerenkov events: 89
event ID: 384703	scintillation events:119	Cerenkov events: 0
event ID: 411991	scintillation events:35	Cerenkov events: 0
event ID: 461064	scintillation events:244	Cerenkov events: 0
event ID: 463962	scintillation events:3691	Cerenkov events: 80
event ID: 467950	scintillation events:1118	Cerenkov events: 31
event ID: 480803	scintillation events:2952	Cerenkov events: 88
event ID: 495442	scintillation events:127	Cerenkov events: 0
event ID: 501529	scintillation events:8	Cerenkov events: 0
event ID: 504089	scintillation events:8364	Cerenkov events: 225
event ID: 531663	scintillation events:2776	Cerenkov events: 86
event ID: 531805	scintillation events:184	Cerenkov events: 6
event ID: 555459	scintillation events:4241	Cerenkov events: 124
event ID: 576911	scintillation events:760	Cerenkov events: 12
event ID: 583798	scintillation events:7093	Cerenkov events: 128
event ID: 591968	scintillation events:86	Cerenkov events: 0
event ID: 595340	scintillation events:5567	Cerenkov events: 113
event ID: 608325	scintillation events:419	Cerenkov events: 10
event ID: 640208	scintillation events:883	Cerenkov events: 32
event ID: 680577	scintillation events:4926	Cerenkov events: 124
event ID: 686930	scintillation events:4223	Cerenkov events: 80
event ID: 698095	scintillation events:215	Cerenkov events: 0
event ID: 729005	scintillation events:42	Cerenkov events: 0
event ID: 741379	scintillation events:2396	Cerenkov events: 70
event ID: 757712	scintillation events:246	Cerenkov events: 0
event ID: 778851	scintillation events:1233	Cerenkov events: 29
event ID: 784052	scintillation events:7042	Cerenkov events: 102
event ID: 815637	scintillation events:4555	Cerenkov events: 79
event ID: 825812	scintillation events:2246	Cerenkov events: 83
event ID: 840024	scintillation events:2392	Cerenkov events: 60
event ID: 871673	scintillation events:224	Cerenkov events: 0
event ID: 891539	scintillation events:146	Cerenkov events: 6
event ID: 891543	scintillation events:4406	Cerenkov events: 73
event ID: 904601	scintillation events:1944	Cerenkov events: 44
event ID: 917206	scintillation events:1697	Cerenkov events: 57
event ID: 933208	scintillation events:78	Cerenkov events: 0
event ID: 936233	scintillation events:162	Cerenkov events: 0
event ID: 941910	scintillation events:48	Cerenkov events: 0
event ID: 953705	scintillation events:162	Cerenkov events: 4
event ID: 959930	scintillation events:2884	Cerenkov events: 84
event ID: 982251	scintillation events:2951	Cerenkov events: 57
event ID: 996140	scintillation events:1775	Cerenkov events: 21
