Incoming Energy	1115	2.59692	1	CoupledTransportation
Incoming Energy	6971	2.18876	1	CoupledTransportation
Incoming Energy	19763	5.32111	1	CoupledTransportation
Incoming Energy	27409	4.9118	1	CoupledTransportation
Incoming Energy	34903	0.660618	1	CoupledTransportation
Incoming Energy	42960	1.73285	1	CoupledTransportation
Incoming Energy	51727	4.96205	1	CoupledTransportation
Incoming Energy	102383	3.82615	1	CoupledTransportation
Incoming Energy	131030	3.46777	1	CoupledTransportation
Incoming Energy	145043	4.38539	1	CoupledTransportation
Incoming Energy	152886	4.78433	1	CoupledTransportation
Incoming Energy	158178	3.47119	1	CoupledTransportation
Incoming Energy	175913	2.51952	1	CoupledTransportation
Incoming Energy	184084	5.26153	1	CoupledTransportation
Incoming Energy	242000	1.37395	1	CoupledTransportation
Incoming Energy	242007	5.20268	1	CoupledTransportation
Incoming Energy	255429	5.20097	1	CoupledTransportation
Incoming Energy	259448	4.98024	1	CoupledTransportation
Incoming Energy	277092	4.4058	1	CoupledTransportation
Incoming Energy	283848	4.22085	1	CoupledTransportation
Incoming Energy	287221	3.20327	1	CoupledTransportation
Incoming Energy	309769	2.2821	1	CoupledTransportation
Incoming Energy	314347	3.25128	1	CoupledTransportation
Incoming Energy	342568	4.49037	1	CoupledTransportation
Incoming Energy	352526	1.74354	1	CoupledTransportation
Incoming Energy	352526	0.871857	1	CoupledTransportation
Incoming Energy	363567	3.32958	1	CoupledTransportation
Incoming Energy	376468	5.68046	1	CoupledTransportation
Incoming Energy	403791	5.39708	1	CoupledTransportation
Incoming Energy	406579	2.78194	1	CoupledTransportation
Incoming Energy	426922	2.50644	1	CoupledTransportation
Incoming Energy	443681	2.98024	1	CoupledTransportation
Incoming Energy	458543	5.2658	1	CoupledTransportation
Incoming Energy	474607	2.58909	1	CoupledTransportation
Incoming Energy	483889	2.98256	1	CoupledTransportation
