event ID: 19371	scintillation events:209	Cerenkov events: 7
event ID: 24041	scintillation events:88	Cerenkov events: 0
event ID: 28504	scintillation events:2716	Cerenkov events: 65
event ID: 61795	scintillation events:421	Cerenkov events: 15
event ID: 64294	scintillation events:724	Cerenkov events: 27
event ID: 67403	scintillation events:1968	Cerenkov events: 43
event ID: 71229	scintillation events:2588	Cerenkov events: 63
event ID: 71240	scintillation events:2686	Cerenkov events: 39
event ID: 78213	scintillation events:649	Cerenkov events: 14
event ID: 81456	scintillation events:2730	Cerenkov events: 51
event ID: 101322	scintillation events:135	Cerenkov events: 3
event ID: 113810	scintillation events:1063	Cerenkov events: 20
event ID: 117937	scintillation events:43	Cerenkov events: 0
event ID: 135395	scintillation events:2192	Cerenkov events: 43
event ID: 135531	scintillation events:3092	Cerenkov events: 92
event ID: 141345	scintillation events:1648	Cerenkov events: 55
event ID: 148206	scintillation events:1413	Cerenkov events: 59
event ID: 172023	scintillation events:1895	Cerenkov events: 71
event ID: 179887	scintillation events:648	Cerenkov events: 18
event ID: 195542	scintillation events:921	Cerenkov events: 35
event ID: 211359	scintillation events:5772	Cerenkov events: 129
event ID: 217121	scintillation events:2880	Cerenkov events: 77
event ID: 223677	scintillation events:3629	Cerenkov events: 82
event ID: 254949	scintillation events:126	Cerenkov events: 0
event ID: 255161	scintillation events:245	Cerenkov events: 11
event ID: 282289	scintillation events:8593	Cerenkov events: 222
event ID: 282360	scintillation events:463	Cerenkov events: 12
event ID: 295688	scintillation events:7683	Cerenkov events: 141
event ID: 302870	scintillation events:2187	Cerenkov events: 78
event ID: 354326	scintillation events:9389	Cerenkov events: 249
event ID: 354334	scintillation events:2419	Cerenkov events: 34
event ID: 371943	scintillation events:9105	Cerenkov events: 182
event ID: 397363	scintillation events:83	Cerenkov events: 2
event ID: 400793	scintillation events:118	Cerenkov events: 6
event ID: 400823	scintillation events:292	Cerenkov events: 14
event ID: 400886	scintillation events:3387	Cerenkov events: 101
event ID: 407748	scintillation events:563	Cerenkov events: 6
event ID: 420304	scintillation events:1480	Cerenkov events: 41
event ID: 424743	scintillation events:5467	Cerenkov events: 133
event ID: 450520	scintillation events:1692	Cerenkov events: 49
event ID: 463596	scintillation events:56	Cerenkov events: 0
event ID: 463604	scintillation events:7396	Cerenkov events: 194
event ID: 473883	scintillation events:5838	Cerenkov events: 172
event ID: 482210	scintillation events:1225	Cerenkov events: 28
event ID: 494900	scintillation events:87	Cerenkov events: 0
event ID: 502115	scintillation events:224	Cerenkov events: 0
event ID: 530565	scintillation events:245	Cerenkov events: 0
event ID: 537095	scintillation events:6059	Cerenkov events: 142
event ID: 547838	scintillation events:1954	Cerenkov events: 62
event ID: 572547	scintillation events:2955	Cerenkov events: 64
event ID: 572629	scintillation events:1317	Cerenkov events: 31
event ID: 589351	scintillation events:68	Cerenkov events: 3
event ID: 611752	scintillation events:1742	Cerenkov events: 47
event ID: 616335	scintillation events:1578	Cerenkov events: 39
event ID: 616387	scintillation events:34	Cerenkov events: 0
event ID: 629701	scintillation events:82	Cerenkov events: 0
event ID: 633972	scintillation events:1288	Cerenkov events: 50
event ID: 644701	scintillation events:2207	Cerenkov events: 61
event ID: 658686	scintillation events:4592	Cerenkov events: 101
event ID: 679556	scintillation events:1434	Cerenkov events: 13
event ID: 690805	scintillation events:5078	Cerenkov events: 121
event ID: 697269	scintillation events:2504	Cerenkov events: 59
event ID: 703648	scintillation events:1811	Cerenkov events: 47
event ID: 736855	scintillation events:267	Cerenkov events: 14
event ID: 736904	scintillation events:2923	Cerenkov events: 100
event ID: 743329	scintillation events:53	Cerenkov events: 0
event ID: 746375	scintillation events:96	Cerenkov events: 0
event ID: 753294	scintillation events:5405	Cerenkov events: 121
event ID: 758646	scintillation events:2218	Cerenkov events: 58
event ID: 763703	scintillation events:1690	Cerenkov events: 51
event ID: 772208	scintillation events:2504	Cerenkov events: 69
event ID: 772408	scintillation events:92	Cerenkov events: 0
event ID: 792493	scintillation events:145	Cerenkov events: 0
event ID: 811844	scintillation events:1868	Cerenkov events: 43
event ID: 825976	scintillation events:3990	Cerenkov events: 90
event ID: 840594	scintillation events:112	Cerenkov events: 0
event ID: 847006	scintillation events:321	Cerenkov events: 0
event ID: 850190	scintillation events:1654	Cerenkov events: 50
event ID: 865797	scintillation events:1367	Cerenkov events: 31
event ID: 885700	scintillation events:800	Cerenkov events: 19
event ID: 885808	scintillation events:56	Cerenkov events: 1
event ID: 909029	scintillation events:664	Cerenkov events: 26
event ID: 922764	scintillation events:4147	Cerenkov events: 70
event ID: 938430	scintillation events:208	Cerenkov events: 6
event ID: 941252	scintillation events:1738	Cerenkov events: 46
event ID: 954224	scintillation events:122	Cerenkov events: 0
event ID: 979545	scintillation events:5622	Cerenkov events: 123
