event ID: 30964	scintillation events:117	Cerenkov events: 0
event ID: 45192	scintillation events:2913	Cerenkov events: 60
event ID: 64096	scintillation events:1950	Cerenkov events: 57
event ID: 72879	scintillation events:867	Cerenkov events: 25
event ID: 82441	scintillation events:255	Cerenkov events: 0
event ID: 92001	scintillation events:2116	Cerenkov events: 46
event ID: 100141	scintillation events:2376	Cerenkov events: 59
event ID: 100158	scintillation events:35	Cerenkov events: 1
event ID: 104704	scintillation events:6041	Cerenkov events: 160
event ID: 114823	scintillation events:158	Cerenkov events: 0
event ID: 116648	scintillation events:4159	Cerenkov events: 101
event ID: 123276	scintillation events:2286	Cerenkov events: 61
event ID: 158642	scintillation events:1865	Cerenkov events: 38
event ID: 159774	scintillation events:818	Cerenkov events: 44
event ID: 176399	scintillation events:61	Cerenkov events: 1
event ID: 184208	scintillation events:2640	Cerenkov events: 55
event ID: 192058	scintillation events:844	Cerenkov events: 33
event ID: 192080	scintillation events:2678	Cerenkov events: 84
