event ID: 57988	Primary scintillation events:3918	Primary Cerenkov events: 32	Secondary Scintillation events: 127506	Secondary Cerenkov Events: 208
event ID: 57994	Primary scintillation events:1284	Primary Cerenkov events: 16	Secondary Scintillation events: 127694	Secondary Cerenkov Events: 208
event ID: 61870	Primary scintillation events:3638	Primary Cerenkov events: 32	Secondary Scintillation events: 128219	Secondary Cerenkov Events: 208
event ID: 65575	Primary scintillation events:923	Primary Cerenkov events: 0	Secondary Scintillation events: 128438	Secondary Cerenkov Events: 208
event ID: 67381	Primary scintillation events:269	Primary Cerenkov events: 6	Secondary Scintillation events: 128475	Secondary Cerenkov Events: 208
event ID: 68038	Primary scintillation events:3094	Primary Cerenkov events: 23	Secondary Scintillation events: 129087	Secondary Cerenkov Events: 208
event ID: 69293	Primary scintillation events:5924	Primary Cerenkov events: 22	Secondary Scintillation events: 130137	Secondary Cerenkov Events: 208
event ID: 69329	Primary scintillation events:12784	Primary Cerenkov events: 69	Secondary Scintillation events: 134406	Secondary Cerenkov Events: 208
event ID: 71243	Primary scintillation events:3571	Primary Cerenkov events: 25	Secondary Scintillation events: 136321	Secondary Cerenkov Events: 208
event ID: 73419	Primary scintillation events:3431	Primary Cerenkov events: 41	Secondary Scintillation events: 137887	Secondary Cerenkov Events: 208
event ID: 74586	Primary scintillation events:4762	Primary Cerenkov events: 22	Secondary Scintillation events: 139656	Secondary Cerenkov Events: 208
event ID: 76317	Primary scintillation events:3516	Primary Cerenkov events: 40	Secondary Scintillation events: 140241	Secondary Cerenkov Events: 208
event ID: 78447	Primary scintillation events:2775	Primary Cerenkov events: 23	Secondary Scintillation events: 140798	Secondary Cerenkov Events: 208
event ID: 78531	Primary scintillation events:2767	Primary Cerenkov events: 17	Secondary Scintillation events: 141295	Secondary Cerenkov Events: 208
event ID: 80742	Primary scintillation events:8204	Primary Cerenkov events: 83	Secondary Scintillation events: 150723	Secondary Cerenkov Events: 228
event ID: 81450	Primary scintillation events:558	Primary Cerenkov events: 5	Secondary Scintillation events: 150805	Secondary Cerenkov Events: 228
event ID: 83482	Primary scintillation events:4252	Primary Cerenkov events: 33	Secondary Scintillation events: 155069	Secondary Cerenkov Events: 229
event ID: 87491	Primary scintillation events:8589	Primary Cerenkov events: 60	Secondary Scintillation events: 157518	Secondary Cerenkov Events: 229
event ID: 88363	Primary scintillation events:3713	Primary Cerenkov events: 40	Secondary Scintillation events: 159750	Secondary Cerenkov Events: 229
event ID: 88412	Primary scintillation events:3816	Primary Cerenkov events: 34	Secondary Scintillation events: 160143	Secondary Cerenkov Events: 229
event ID: 90649	Primary scintillation events:6080	Primary Cerenkov events: 54	Secondary Scintillation events: 161810	Secondary Cerenkov Events: 229
event ID: 93810	Primary scintillation events:3788	Primary Cerenkov events: 29	Secondary Scintillation events: 163618	Secondary Cerenkov Events: 229
event ID: 95221	Primary scintillation events:3737	Primary Cerenkov events: 36	Secondary Scintillation events: 165941	Secondary Cerenkov Events: 233
event ID: 98295	Primary scintillation events:4607	Primary Cerenkov events: 42	Secondary Scintillation events: 166772	Secondary Cerenkov Events: 233
event ID: 99059	Primary scintillation events:3964	Primary Cerenkov events: 32	Secondary Scintillation events: 168248	Secondary Cerenkov Events: 233
