event ID: 16038	scintillation events:676	Cerenkov events: 21
event ID: 37195	scintillation events:332	Cerenkov events: 0
event ID: 49731	scintillation events:3237	Cerenkov events: 66
event ID: 63676	scintillation events:842	Cerenkov events: 22
event ID: 74466	scintillation events:2480	Cerenkov events: 58
event ID: 83992	scintillation events:1046	Cerenkov events: 36
event ID: 85807	scintillation events:28	Cerenkov events: 0
event ID: 85812	scintillation events:1479	Cerenkov events: 14
event ID: 95650	scintillation events:2721	Cerenkov events: 79
event ID: 123820	scintillation events:356	Cerenkov events: 5
event ID: 126578	scintillation events:600	Cerenkov events: 8
event ID: 137572	scintillation events:64	Cerenkov events: 0
event ID: 139418	scintillation events:1110	Cerenkov events: 24
event ID: 184512	scintillation events:1186	Cerenkov events: 28
event ID: 196470	scintillation events:3578	Cerenkov events: 87
event ID: 196508	scintillation events:5098	Cerenkov events: 137
event ID: 205326	scintillation events:1621	Cerenkov events: 57
event ID: 205328	scintillation events:3409	Cerenkov events: 63
event ID: 232731	scintillation events:889	Cerenkov events: 25
event ID: 276924	scintillation events:460	Cerenkov events: 0
event ID: 283095	scintillation events:4628	Cerenkov events: 92
event ID: 305665	scintillation events:218	Cerenkov events: 0
event ID: 312312	scintillation events:3196	Cerenkov events: 72
event ID: 318018	scintillation events:4254	Cerenkov events: 125
event ID: 334862	scintillation events:2476	Cerenkov events: 35
event ID: 341193	scintillation events:2566	Cerenkov events: 58
event ID: 341237	scintillation events:1835	Cerenkov events: 66
event ID: 356619	scintillation events:3397	Cerenkov events: 92
event ID: 363039	scintillation events:7738	Cerenkov events: 201
event ID: 383981	scintillation events:6429	Cerenkov events: 138
event ID: 395071	scintillation events:3139	Cerenkov events: 83
event ID: 411704	scintillation events:3888	Cerenkov events: 108
event ID: 427344	scintillation events:2031	Cerenkov events: 54
event ID: 431168	scintillation events:79	Cerenkov events: 0
event ID: 440789	scintillation events:4693	Cerenkov events: 106
event ID: 440843	scintillation events:4829	Cerenkov events: 114
event ID: 453724	scintillation events:759	Cerenkov events: 42
event ID: 453843	scintillation events:2020	Cerenkov events: 41
event ID: 460929	scintillation events:102	Cerenkov events: 0
event ID: 467133	scintillation events:3539	Cerenkov events: 104
event ID: 467147	scintillation events:4320	Cerenkov events: 76
event ID: 467154	scintillation events:5987	Cerenkov events: 169
event ID: 482718	scintillation events:258	Cerenkov events: 7
event ID: 485055	scintillation events:47	Cerenkov events: 4
event ID: 489938	scintillation events:882	Cerenkov events: 21
event ID: 491723	scintillation events:2718	Cerenkov events: 74
event ID: 495804	scintillation events:5096	Cerenkov events: 124
