Incoming Energy	46828	4.94597	1	CoupledTransportation
Incoming Energy	52961	2.16396	1	CoupledTransportation
Incoming Energy	88790	3.41774	1	CoupledTransportation
Incoming Energy	108594	1.58252	1	CoupledTransportation
Incoming Energy	116239	5.36322	1	CoupledTransportation
Incoming Energy	169333	0.931864	1	CoupledTransportation
Incoming Energy	179826	4.27622	1	CoupledTransportation
Incoming Energy	186845	3.09767	1	CoupledTransportation
Incoming Energy	190132	0.888186	1	CoupledTransportation
Incoming Energy	195703	5.29228	1	CoupledTransportation
Incoming Energy	277550	5.25436	1	CoupledTransportation
Incoming Energy	306994	3.66824	1	CoupledTransportation
Incoming Energy	311296	3.49147	1	CoupledTransportation
Incoming Energy	331735	4.12763	1	CoupledTransportation
Incoming Energy	337619	5.33309	1	CoupledTransportation
Incoming Energy	380457	5.63258	1	CoupledTransportation
Incoming Energy	397308	3.2483	1	CoupledTransportation
Incoming Energy	404140	0.559954	1	CoupledTransportation
Incoming Energy	426984	2.75103	1	CoupledTransportation
Incoming Energy	442581	4.18969	1	CoupledTransportation
Incoming Energy	447421	5.49019	1	CoupledTransportation
Incoming Energy	447469	3.93438	1	CoupledTransportation
Incoming Energy	461916	4.3376	1	CoupledTransportation
Incoming Energy	469615	5.02812	1	CoupledTransportation
Incoming Energy	469622	2.35164	1	CoupledTransportation
Incoming Energy	473208	1.95371	1	CoupledTransportation
Incoming Energy	473208	0.901292	1	CoupledTransportation
