# mesh name: boxMesh_2
# primitive scorer name: flux
# iX, iY, iZ, total(value) [percm2], total(val^2), entry
0,0,0,260.3795060248829,22776.00715226852,3
0,0,1,1459.339208801879,224201.6099159862,11
0,0,2,1086.241308698818,230542.8539791956,8
0,0,3,706.8486857333363,77741.91731107698,7
0,0,4,544.5786688339406,99078.19382458371,4
0,1,0,260.3795060251604,22776.00715231707,3
0,1,1,1460.315535583202,224580.3998695308,11
0,1,2,1086.241308699903,230542.8539796754,8
0,1,3,706.8486857339615,77741.91731120653,7
0,1,4,544.578668834521,99078.19382479493,4
0,2,0,260.3795060251197,22776.00715230994,3
0,2,1,1461.97105188549,225233.4385575599,11
0,2,2,1086.241308699661,230542.8539795916,8
0,2,3,706.8486857337227,77741.91731114604,7
0,2,4,544.5786688344358,99078.1938247639,4
1,0,0,640.6537210277776,74725.06308919117,6
1,0,1,414.2801907989959,43543.50560860635,4
1,0,2,392.9730110791331,40673.80233064086,4
1,0,3,1097.117772078993,237805.3545166574,8
1,0,4,554.3901868106128,52330.59233869273,6
1,1,0,640.6537210282979,74725.0630893074,6
1,1,1,414.2801907994374,43543.50560869918,4
1,1,2,392.8599512476794,40654.65346029488,4
1,1,3,1097.117772079788,237805.3545168551,8
1,1,4,554.3901868112036,52330.59233880429,6
1,2,0,640.6537210280352,74725.06308924095,6
1,2,1,414.2801907993727,43543.50560868555,4
1,2,2,392.5003025887536,40593.91000904898,4
1,2,3,1097.117772079241,237805.3545164717,8
1,2,4,554.390186811117,52330.59233878792,6
2,0,0,559.4424933923679,67089.77719582834,5
2,0,1,737.1655086839787,171674.0260120859,5
2,0,2,503.6035573897336,87112.95443126382,4
2,0,3,182.4739132847184,17014.73929169278,2
2,0,4,833.5573864580028,208346.7492459592,5
2,1,0,559.4424933928916,67089.7771959479,5
2,1,1,657.7677104139277,119585.0640423037,5
2,1,2,423.7912290222056,80742.94667191774,3
2,1,3,182.4739132849129,17014.73929172905,2
2,1,4,833.5573864584632,208346.749246133,5
2,2,0,560.641678717446,67321.98107357002,5
2,2,1,657.6163261313477,119545.542914582,5
2,2,2,475.3696717952876,83403.28243079537,4
2,2,3,182.4739132848844,17014.73929172373,2
2,2,4,833.5573864579046,208346.7492457976,5
