
0,0,0,4460.185210978903,914355.0808948297,35
0,0,1,4562.387146222935,676728.6161652167,39
0,0,2,4776.488097591931,704168.3925641204,43
0,0,3,4480.124357320378,530744.0582813863,42
0,0,4,3348.866082216993,487402.6121594117,28
0,1,0,4537.854692858421,908701.4095838898,36
0,1,1,5398.46218885789,1280843.346020922,40
0,1,2,4776.747846915514,704230.4982279644,43
0,1,3,4616.010023257435,632738.0101687129,42
0,1,4,3591.839154419082,579449.2083924977,29
0,2,0,4447.840876406032,847341.5610635845,37
0,2,1,5731.963552050644,1740628.180951354,40
0,2,2,4833.281779737202,708139.1128676579,44
0,2,3,4663.345444352772,636350.0039746609,42
0,2,4,3906.213544603489,900426.956173594,28
1,0,0,4471.456222391444,812458.3941062624,41
1,0,1,5111.442659859343,1114659.665655219,44
1,0,2,2577.634866488866,305687.5083315244,24
1,0,3,5051.269472330515,688727.4649781915,45
1,0,4,4176.571385309653,708909.0547748692,34
1,1,0,4387.145387473603,800038.0572026203,41
1,1,1,4543.89723227243,543556.3051164377,44
1,1,2,2557.140972821201,299477.6661340555,24
1,1,3,4920.617235446348,651719.2028205447,45
1,1,4,4231.934525294517,705410.5542663764,35
1,2,0,4465.978116517271,811584.2853086598,41
1,2,1,4296.702000023268,494180.5025229338,43
1,2,2,2359.369718317027,244189.4532687459,24
1,2,3,5456.560182903531,1189554.071148858,45
1,2,4,4166.330334858369,701503.4483581644,34
2,0,0,6768.077657369408,2680396.780190575,52
2,0,1,3703.65164639817,458484.5085051152,34
2,0,2,2671.80690172689,264816.3825987455,28
2,0,3,3400.662566987166,431802.2627040462,33
2,0,4,5284.966084101689,1109901.150640113,39
2,1,0,6768.07765736944,2680396.780190585,52
2,1,1,3703.651646398205,458484.5085051244,34
2,1,2,2715.585611047947,265543.6434229257,31
2,1,3,3408.598409546864,433896.1143270204,33
2,1,4,5295.52255346741,1112139.783969074,40
2,2,0,5722.628643284138,807551.6688711481,52
2,2,1,3748.317560989324,460479.5524313,35
2,2,2,3011.567839281272,306822.48422723,31
2,2,3,3385.63579932957,428229.2768454356,33
2,2,4,5436.335039286988,1150134.728064868,40
