# mesh name: boxMesh_2
# primitive scorer name: flux
# iX, iY, iZ, total(value) [percm2], total(val^2), entry
0,0,0,2948.217081313468,400986.5615103482,26
0,0,1,2740.550654099939,399700.2804845435,25
0,0,2,3619.571247274635,750674.2669192522,29
0,0,3,2862.274689134607,286384.6651906315,30
0,0,4,2716.820941995657,445005.9783171628,23
0,1,0,2948.217081313468,400986.5615103482,26
0,1,1,3328.952248299336,1123731.560167107,26
0,1,2,3619.571247274647,750674.2669192542,29
0,1,3,2943.202287364614,292933.9413459107,31
0,1,4,2693.588442746127,431360.297297532,23
0,2,0,2938.074067710435,399398.1835039004,26
0,2,1,3074.206107543771,639096.4245612659,26
0,2,2,3619.571247274093,750674.266919021,29
0,2,3,2968.05418646048,297569.7929874305,31
0,2,4,2212.858702400425,282949.6063455704,21
1,0,0,2617.796115372752,359239.5984511612,23
1,0,1,2160.45637794259,310487.0386216396,19
1,0,2,2046.403467879438,262956.9761698862,19
1,0,3,2814.654412793782,520353.6112873328,22
1,0,4,2584.77796519742,404546.7558341908,22
1,1,0,2617.796115372789,359239.598451185,23
1,1,1,2219.140559658941,314309.0812681859,20
1,1,2,2046.868484029383,262957.1924099207,20
1,1,3,2743.962804362721,411404.1122875227,23
1,1,4,2644.086568712357,418466.1989397996,24
1,2,0,2627.939128975007,359342.4791760385,24
1,2,1,2284.880019595693,325963.883105446,20
1,2,2,2145.047522776298,272687.6257363808,20
1,2,3,2785.662511242414,399670.2876745069,23
1,2,4,3013.125586999301,618779.1130636606,24
2,0,0,2080.317278459491,236375.0784471424,20
2,0,1,2815.473163922735,457873.0859009033,21
2,0,2,3628.591413190552,1098563.245420877,29
2,0,3,2257.243277669455,260047.2276699905,23
2,0,4,3183.580310187157,1181546.75067368,18
2,1,0,2080.31727845955,236375.0784471584,20
2,1,1,2763.556937912906,450013.6644165111,21
2,1,2,3628.126397040817,1098471.719503921,29
2,1,3,2511.161978208936,296916.7481181029,24
2,1,4,3183.580310187293,1181546.750673864,18
2,2,0,2080.317278459284,236375.0784471004,20
2,2,1,2787.816128801599,502373.6588271963,20
2,2,2,3529.947358293172,1088832.595854507,28
2,2,3,2518.545721435282,348993.3182309595,23
2,2,4,3183.580310186931,1181546.750673678,18
