event ID: 3143	scintillation events:2410	Cerenkov events: 75
event ID: 8600	scintillation events:1363	Cerenkov events: 5
event ID: 11584	scintillation events:1050	Cerenkov events: 37
event ID: 20111	scintillation events:2174	Cerenkov events: 68
event ID: 63650	scintillation events:115	Cerenkov events: 0
event ID: 73823	scintillation events:1069	Cerenkov events: 45
event ID: 86431	scintillation events:132	Cerenkov events: 0
event ID: 96465	scintillation events:7369	Cerenkov events: 173
event ID: 118973	scintillation events:270	Cerenkov events: 0
event ID: 119150	scintillation events:1556	Cerenkov events: 32
event ID: 125041	scintillation events:388	Cerenkov events: 8
event ID: 131194	scintillation events:285	Cerenkov events: 8
event ID: 140446	scintillation events:1813	Cerenkov events: 38
event ID: 174827	scintillation events:3371	Cerenkov events: 72
event ID: 179485	scintillation events:3813	Cerenkov events: 131
event ID: 179578	scintillation events:4004	Cerenkov events: 89
event ID: 187105	scintillation events:3113	Cerenkov events: 37
event ID: 197033	scintillation events:81	Cerenkov events: 0
event ID: 210191	scintillation events:230	Cerenkov events: 8
event ID: 222361	scintillation events:43	Cerenkov events: 1
event ID: 227288	scintillation events:58	Cerenkov events: 0
event ID: 233061	scintillation events:74	Cerenkov events: 0
event ID: 255999	scintillation events:3159	Cerenkov events: 65
event ID: 259831	scintillation events:110	Cerenkov events: 0
event ID: 277093	scintillation events:2286	Cerenkov events: 70
event ID: 277208	scintillation events:4543	Cerenkov events: 115
event ID: 294163	scintillation events:4679	Cerenkov events: 103
event ID: 308492	scintillation events:1243	Cerenkov events: 51
event ID: 318587	scintillation events:1721	Cerenkov events: 46
event ID: 328422	scintillation events:3825	Cerenkov events: 71
event ID: 333963	scintillation events:411	Cerenkov events: 13
event ID: 334064	scintillation events:402	Cerenkov events: 16
event ID: 376996	scintillation events:3632	Cerenkov events: 96
event ID: 377118	scintillation events:39	Cerenkov events: 0
event ID: 383273	scintillation events:1677	Cerenkov events: 46
event ID: 383293	scintillation events:262	Cerenkov events: 7
event ID: 407718	scintillation events:385	Cerenkov events: 8
event ID: 415184	scintillation events:521	Cerenkov events: 0
event ID: 431263	scintillation events:537	Cerenkov events: 12
event ID: 441455	scintillation events:3462	Cerenkov events: 78
event ID: 447315	scintillation events:461	Cerenkov events: 13
event ID: 468820	scintillation events:8807	Cerenkov events: 188
event ID: 483645	scintillation events:1236	Cerenkov events: 41
event ID: 504430	scintillation events:472	Cerenkov events: 0
event ID: 508368	scintillation events:2177	Cerenkov events: 74
event ID: 525728	scintillation events:88	Cerenkov events: 0
event ID: 529641	scintillation events:5366	Cerenkov events: 89
event ID: 539225	scintillation events:46	Cerenkov events: 0
event ID: 550225	scintillation events:3768	Cerenkov events: 85
event ID: 566226	scintillation events:98	Cerenkov events: 0
event ID: 568282	scintillation events:228	Cerenkov events: 0
event ID: 580168	scintillation events:122	Cerenkov events: 0
event ID: 583701	scintillation events:229	Cerenkov events: 0
event ID: 583734	scintillation events:3275	Cerenkov events: 83
event ID: 583745	scintillation events:4188	Cerenkov events: 106
event ID: 595680	scintillation events:4731	Cerenkov events: 72
event ID: 610437	scintillation events:5332	Cerenkov events: 118
event ID: 610489	scintillation events:12	Cerenkov events: 0
event ID: 623383	scintillation events:3009	Cerenkov events: 74
event ID: 634286	scintillation events:2376	Cerenkov events: 82
event ID: 646055	scintillation events:411	Cerenkov events: 5
event ID: 658250	scintillation events:61	Cerenkov events: 0
event ID: 662217	scintillation events:267	Cerenkov events: 0
event ID: 669774	scintillation events:2131	Cerenkov events: 65
event ID: 680555	scintillation events:1145	Cerenkov events: 5
event ID: 700146	scintillation events:1156	Cerenkov events: 17
event ID: 705611	scintillation events:100	Cerenkov events: 0
event ID: 749542	scintillation events:144	Cerenkov events: 0
event ID: 762441	scintillation events:1194	Cerenkov events: 42
event ID: 777186	scintillation events:893	Cerenkov events: 4
event ID: 809733	scintillation events:125	Cerenkov events: 0
event ID: 818831	scintillation events:974	Cerenkov events: 27
event ID: 818900	scintillation events:3423	Cerenkov events: 56
event ID: 832810	scintillation events:60	Cerenkov events: 0
event ID: 837783	scintillation events:95	Cerenkov events: 0
event ID: 840578	scintillation events:2769	Cerenkov events: 86
event ID: 865485	scintillation events:2798	Cerenkov events: 73
event ID: 869199	scintillation events:282	Cerenkov events: 0
event ID: 875713	scintillation events:1184	Cerenkov events: 41
event ID: 928410	scintillation events:482	Cerenkov events: 0
event ID: 932671	scintillation events:180	Cerenkov events: 0
event ID: 943071	scintillation events:403	Cerenkov events: 14
event ID: 946967	scintillation events:2140	Cerenkov events: 66
event ID: 947173	scintillation events:6408	Cerenkov events: 102
event ID: 955992	scintillation events:12	Cerenkov events: 0
event ID: 974066	scintillation events:4561	Cerenkov events: 126
event ID: 974288	scintillation events:1217	Cerenkov events: 6
event ID: 980565	scintillation events:2754	Cerenkov events: 98
event ID: 986299	scintillation events:3188	Cerenkov events: 100
event ID: 986343	scintillation events:86	Cerenkov events: 0
