# mesh name: boxMesh_2
# primitive scorer name: flux
# iX, iY, iZ, total(value) [percm2], total(val^2), entry
0,0,0,5702.308772294252,696008.7466233108,61
0,0,1,6202.633610931815,572698.8022562207,71
0,0,2,7137.555153934734,892665.1476451365,74
0,0,3,5944.200709953374,572080.4935164703,66
0,0,4,6121.239665188058,680129.8373215781,64
0,1,0,5756.560356534826,692823.1754054008,62
0,1,1,6101.176335117784,574926.6086309914,69
0,1,2,7265.276775882153,905840.399781125,75
0,1,3,5953.025594075169,573746.347844727,66
0,1,4,6290.296158702628,758695.723492668,64
0,2,0,5816.108621209979,697717.7833648114,63
0,2,1,6062.520969237267,569100.622638288,68
0,2,2,7281.490979209458,908792.9371114867,75
0,2,3,5923.059485379654,572848.3801743853,65
0,2,4,6113.014039640857,694885.7470289484,64
1,0,0,6017.888346414548,586259.7999784253,67
1,0,1,5149.246976396679,464299.6550205252,60
1,0,2,8563.337653672948,1759218.866099938,78
1,0,3,8083.273539399212,1162184.271191105,79
1,0,4,5636.120190722292,496133.2130805966,67
1,1,0,6068.644890188813,588591.6438453699,68
1,1,1,5169.602119069192,466206.2276917334,60
1,1,2,8271.288132888008,1578478.995487294,79
1,1,3,14076.67174868891,36908357.87298778,80
1,1,4,5676.991256551447,503087.2381456112,67
1,2,0,5971.57655111527,578973.5396589041,67
1,2,1,5196.810506774283,466938.9437352322,60
1,2,2,8290.473323661239,1616385.422316046,77
1,2,3,8309.167728890416,1225473.158802669,80
1,2,4,5786.83488020619,510019.8538179437,68
2,0,0,7521.069055380751,939187.8904367915,73
2,0,1,7014.885708364763,747202.9972126227,75
2,0,2,6079.801681810288,693546.1672422616,65
2,0,3,6035.725381834884,764399.3866700738,60
2,0,4,5686.990988699828,598280.3688253256,61
2,1,0,7569.382398562721,944159.0956881862,73
2,1,1,7023.821474104551,752163.5412026268,75
2,1,2,5987.359686934429,661620.026928395,65
2,1,3,6066.320846572745,770397.3981366021,61
2,1,4,5693.497191738063,598322.6995030129,62
2,2,0,7578.672730925789,944241.9277849694,74
2,2,1,7015.250461519026,747983.8902048628,75
2,2,2,6193.573920262063,784057.1488758631,64
2,2,3,8082.70351721455,4795589.341721611,61
2,2,4,5747.083146083779,603625.0665479722,62
