event ID: 2572	scintillation events:3865	Cerenkov events: 140	Bremstralung events: 1	Fluo Events: 0
event ID: 37670	scintillation events:2673	Cerenkov events: 80	Bremstralung events: 3	Fluo Events: 0
event ID: 49445	scintillation events:3112	Cerenkov events: 83	Bremstralung events: 4	Fluo Events: 2
event ID: 58532	scintillation events:95	Cerenkov events: 0	Bremstralung events: 4	Fluo Events: 2
event ID: 62504	scintillation events:1309	Cerenkov events: 44	Bremstralung events: 4	Fluo Events: 2
event ID: 71266	scintillation events:4623	Cerenkov events: 78	Bremstralung events: 6	Fluo Events: 4
event ID: 82749	scintillation events:508	Cerenkov events: 11	Bremstralung events: 7	Fluo Events: 4
event ID: 87329	scintillation events:2775	Cerenkov events: 49	Bremstralung events: 7	Fluo Events: 5
event ID: 111234	scintillation events:50	Cerenkov events: 0	Bremstralung events: 7	Fluo Events: 5
event ID: 143263	scintillation events:10893	Cerenkov events: 273	Bremstralung events: 15	Fluo Events: 11
event ID: 167033	scintillation events:1619	Cerenkov events: 46	Bremstralung events: 16	Fluo Events: 12
event ID: 168284	scintillation events:2200	Cerenkov events: 56	Bremstralung events: 16	Fluo Events: 13
event ID: 172134	scintillation events:2823	Cerenkov events: 63	Bremstralung events: 20	Fluo Events: 15
event ID: 180078	scintillation events:2090	Cerenkov events: 46	Bremstralung events: 21	Fluo Events: 16
event ID: 187311	scintillation events:1521	Cerenkov events: 44	Bremstralung events: 22	Fluo Events: 16
event ID: 197297	scintillation events:46	Cerenkov events: 1	Bremstralung events: 22	Fluo Events: 16
event ID: 197517	scintillation events:93	Cerenkov events: 0	Bremstralung events: 22	Fluo Events: 16
event ID: 200603	scintillation events:1659	Cerenkov events: 47	Bremstralung events: 22	Fluo Events: 18
event ID: 213595	scintillation events:1058	Cerenkov events: 38	Bremstralung events: 22	Fluo Events: 18
event ID: 218537	scintillation events:1542	Cerenkov events: 56	Bremstralung events: 23	Fluo Events: 18
event ID: 227601	scintillation events:982	Cerenkov events: 31	Bremstralung events: 23	Fluo Events: 18
event ID: 241474	scintillation events:1065	Cerenkov events: 29	Bremstralung events: 25	Fluo Events: 18
event ID: 277729	scintillation events:571	Cerenkov events: 1	Bremstralung events: 25	Fluo Events: 18
event ID: 286515	scintillation events:4627	Cerenkov events: 121	Bremstralung events: 27	Fluo Events: 20
event ID: 313884	scintillation events:2642	Cerenkov events: 77	Bremstralung events: 28	Fluo Events: 20
event ID: 317797	scintillation events:29	Cerenkov events: 0	Bremstralung events: 28	Fluo Events: 20
event ID: 330140	scintillation events:404	Cerenkov events: 0	Bremstralung events: 29	Fluo Events: 20
event ID: 343959	scintillation events:1974	Cerenkov events: 47	Bremstralung events: 31	Fluo Events: 20
event ID: 349938	scintillation events:4084	Cerenkov events: 97	Bremstralung events: 32	Fluo Events: 24
event ID: 350139	scintillation events:153	Cerenkov events: 0	Bremstralung events: 32	Fluo Events: 24
event ID: 353287	scintillation events:2479	Cerenkov events: 83	Bremstralung events: 34	Fluo Events: 27
event ID: 367020	scintillation events:197	Cerenkov events: 0	Bremstralung events: 34	Fluo Events: 27
event ID: 369894	scintillation events:3022	Cerenkov events: 75	Bremstralung events: 34	Fluo Events: 30
event ID: 387714	scintillation events:2104	Cerenkov events: 62	Bremstralung events: 35	Fluo Events: 32
event ID: 409230	scintillation events:1887	Cerenkov events: 56	Bremstralung events: 37	Fluo Events: 34
event ID: 415494	scintillation events:1574	Cerenkov events: 52	Bremstralung events: 37	Fluo Events: 36
event ID: 436466	scintillation events:2347	Cerenkov events: 69	Bremstralung events: 39	Fluo Events: 37
event ID: 489589	scintillation events:3037	Cerenkov events: 89	Bremstralung events: 40	Fluo Events: 37
event ID: 498698	scintillation events:1341	Cerenkov events: 42	Bremstralung events: 40	Fluo Events: 37
event ID: 522461	scintillation events:115	Cerenkov events: 0	Bremstralung events: 40	Fluo Events: 38
event ID: 530165	scintillation events:92	Cerenkov events: 0	Bremstralung events: 40	Fluo Events: 38
event ID: 540228	scintillation events:8017	Cerenkov events: 174	Bremstralung events: 41	Fluo Events: 40
event ID: 542802	scintillation events:47	Cerenkov events: 3	Bremstralung events: 41	Fluo Events: 40
event ID: 560705	scintillation events:1266	Cerenkov events: 12	Bremstralung events: 41	Fluo Events: 40
event ID: 563809	scintillation events:7307	Cerenkov events: 186	Bremstralung events: 43	Fluo Events: 42
event ID: 571868	scintillation events:118	Cerenkov events: 0	Bremstralung events: 43	Fluo Events: 42
event ID: 575641	scintillation events:3808	Cerenkov events: 89	Bremstralung events: 45	Fluo Events: 43
event ID: 588563	scintillation events:2470	Cerenkov events: 52	Bremstralung events: 45	Fluo Events: 44
event ID: 592753	scintillation events:2517	Cerenkov events: 63	Bremstralung events: 46	Fluo Events: 46
event ID: 603984	scintillation events:68	Cerenkov events: 0	Bremstralung events: 46	Fluo Events: 46
event ID: 618200	scintillation events:39	Cerenkov events: 0	Bremstralung events: 46	Fluo Events: 46
event ID: 618255	scintillation events:5929	Cerenkov events: 161	Bremstralung events: 47	Fluo Events: 52
event ID: 626197	scintillation events:214	Cerenkov events: 0	Bremstralung events: 47	Fluo Events: 52
event ID: 632651	scintillation events:85	Cerenkov events: 0	Bremstralung events: 47	Fluo Events: 52
event ID: 644115	scintillation events:623	Cerenkov events: 15	Bremstralung events: 48	Fluo Events: 52
event ID: 663450	scintillation events:481	Cerenkov events: 24	Bremstralung events: 48	Fluo Events: 53
event ID: 666806	scintillation events:1248	Cerenkov events: 31	Bremstralung events: 48	Fluo Events: 53
event ID: 669082	scintillation events:3205	Cerenkov events: 75	Bremstralung events: 51	Fluo Events: 53
event ID: 745940	scintillation events:2975	Cerenkov events: 85	Bremstralung events: 51	Fluo Events: 53
event ID: 753361	scintillation events:2167	Cerenkov events: 57	Bremstralung events: 52	Fluo Events: 53
event ID: 769579	scintillation events:2179	Cerenkov events: 61	Bremstralung events: 53	Fluo Events: 54
event ID: 769623	scintillation events:3029	Cerenkov events: 101	Bremstralung events: 54	Fluo Events: 56
event ID: 778144	scintillation events:2487	Cerenkov events: 68	Bremstralung events: 56	Fluo Events: 58
event ID: 778152	scintillation events:2377	Cerenkov events: 54	Bremstralung events: 58	Fluo Events: 58
event ID: 797504	scintillation events:1342	Cerenkov events: 18	Bremstralung events: 58	Fluo Events: 59
event ID: 805076	scintillation events:1709	Cerenkov events: 45	Bremstralung events: 60	Fluo Events: 61
event ID: 818574	scintillation events:4080	Cerenkov events: 39	Bremstralung events: 62	Fluo Events: 61
event ID: 822611	scintillation events:4104	Cerenkov events: 123	Bremstralung events: 63	Fluo Events: 63
event ID: 829585	scintillation events:638	Cerenkov events: 20	Bremstralung events: 64	Fluo Events: 63
event ID: 911005	scintillation events:78	Cerenkov events: 2	Bremstralung events: 64	Fluo Events: 63
