9471	2.13337	1
14254	8.48092	1
21703	8.34163	1
40477	8.45961	1
47888	8.47932	1
65108	7.63892	1
71734	5.28943	1
86777	7.28271	1
95606	8.33646	1
107013	7.96488	1
125512	2.2273	1
132696	6.75936	1
146138	7.7771	1
149052	4.97583	1
173774	8.35911	1
173821	3.70013	1
173898	8.40205	1
213582	3.6147	1
236692	0.303053	1
286852	5.95864	1
299912	2.54822	1
299912	0.297836	1
302898	6.79077	1
306007	6.70433	1
309819	8.22383	1
316388	2.8315	1
323607	8.10142	1
326643	8.14722	1
331030	8.27483	1
351516	8.37091	1
362986	4.91308	1
398942	8.16777	1
403794	6.79101	1
415750	6.62148	1
418687	7.68855	1
426283	6.61564	1
429683	1.22079	1
437712	8.31226	1
441279	6.52575	1
444668	0.674799	1
474516	7.7506	1
491892	8.10917	1
510726	8.27456	1
521594	8.17627	1
521809	8.22938	1
582177	6.62141	1
586196	6.84678	1
590789	4.04273	1
597808	8.41771	1
616575	8.01211	1
633366	8.25818	1
647223	6.43306	1
650201	5.24424	1
702031	7.86148	1
706299	1.34108	1
706299	0.979515	1
717129	7.57395	1
729142	7.83459	1
740311	8.11112	1
769322	4.74933	1
769522	5.9237	1
792790	3.30823	1
820779	7.6041	1
828022	8.32328	1
840531	0.802578	1
840540	7.28799	1
848649	7.73277	1
881054	7.18056	1
908302	2.17447	1
912543	8.27764	1
930973	8.16973	1
938809	8.28871	1
941567	8.25206	1
946058	6.86328	1
961172	8.13028	1
969149	7.0299	1
972846	4.64656	1
992426	8.34699	1
