event ID: 1785	scintillation events:3181	Cerenkov events: 65
event ID: 46442	scintillation events:746	Cerenkov events: 28
event ID: 52961	scintillation events:1412	Cerenkov events: 23
event ID: 56350	scintillation events:173	Cerenkov events: 0
event ID: 56428	scintillation events:2916	Cerenkov events: 87
event ID: 62367	scintillation events:835	Cerenkov events: 20
event ID: 77151	scintillation events:73	Cerenkov events: 0
event ID: 84404	scintillation events:442	Cerenkov events: 0
event ID: 84663	scintillation events:2739	Cerenkov events: 77
event ID: 90111	scintillation events:1864	Cerenkov events: 53
event ID: 121033	scintillation events:136	Cerenkov events: 0
event ID: 137988	scintillation events:250	Cerenkov events: 0
event ID: 155341	scintillation events:2799	Cerenkov events: 40
event ID: 166213	scintillation events:623	Cerenkov events: 13
event ID: 188021	scintillation events:107	Cerenkov events: 0
event ID: 191455	scintillation events:160	Cerenkov events: 0
event ID: 202610	scintillation events:7160	Cerenkov events: 161
event ID: 202716	scintillation events:20	Cerenkov events: 1
event ID: 214873	scintillation events:458	Cerenkov events: 0
event ID: 217963	scintillation events:138	Cerenkov events: 0
event ID: 226378	scintillation events:6332	Cerenkov events: 121
event ID: 234401	scintillation events:54	Cerenkov events: 6
event ID: 243391	scintillation events:8138	Cerenkov events: 170
event ID: 254443	scintillation events:1850	Cerenkov events: 46
event ID: 272789	scintillation events:1103	Cerenkov events: 27
event ID: 278068	scintillation events:1211	Cerenkov events: 38
event ID: 280849	scintillation events:611	Cerenkov events: 18
event ID: 280935	scintillation events:642	Cerenkov events: 1
event ID: 295886	scintillation events:2349	Cerenkov events: 36
event ID: 319689	scintillation events:4051	Cerenkov events: 97
event ID: 337619	scintillation events:3101	Cerenkov events: 64
event ID: 340827	scintillation events:157	Cerenkov events: 0
event ID: 340867	scintillation events:1337	Cerenkov events: 28
event ID: 344766	scintillation events:205	Cerenkov events: 0
event ID: 347666	scintillation events:1249	Cerenkov events: 9
event ID: 354365	scintillation events:3180	Cerenkov events: 92
event ID: 358596	scintillation events:1190	Cerenkov events: 41
event ID: 362009	scintillation events:2263	Cerenkov events: 42
event ID: 377138	scintillation events:3571	Cerenkov events: 129
event ID: 387038	scintillation events:592	Cerenkov events: 22
event ID: 423153	scintillation events:1620	Cerenkov events: 51
event ID: 423186	scintillation events:1940	Cerenkov events: 61
event ID: 423267	scintillation events:106	Cerenkov events: 0
event ID: 437407	scintillation events:115	Cerenkov events: 3
event ID: 437409	scintillation events:937	Cerenkov events: 20
event ID: 437446	scintillation events:2899	Cerenkov events: 68
event ID: 468612	scintillation events:230	Cerenkov events: 0
event ID: 471962	scintillation events:2435	Cerenkov events: 70
event ID: 482718	scintillation events:258	Cerenkov events: 7
event ID: 490824	scintillation events:1591	Cerenkov events: 45
event ID: 497902	scintillation events:9912	Cerenkov events: 276
event ID: 504750	scintillation events:4393	Cerenkov events: 119
event ID: 511151	scintillation events:689	Cerenkov events: 0
event ID: 514901	scintillation events:543	Cerenkov events: 15
event ID: 574664	scintillation events:3523	Cerenkov events: 88
event ID: 574700	scintillation events:2243	Cerenkov events: 70
event ID: 581511	scintillation events:272	Cerenkov events: 0
event ID: 585066	scintillation events:3884	Cerenkov events: 90
event ID: 585116	scintillation events:2205	Cerenkov events: 76
event ID: 595371	scintillation events:276	Cerenkov events: 0
event ID: 599198	scintillation events:1098	Cerenkov events: 22
event ID: 603114	scintillation events:349	Cerenkov events: 0
event ID: 603143	scintillation events:14	Cerenkov events: 0
event ID: 603301	scintillation events:104	Cerenkov events: 0
event ID: 612840	scintillation events:944	Cerenkov events: 39
event ID: 616843	scintillation events:194	Cerenkov events: 7
event ID: 625988	scintillation events:112	Cerenkov events: 0
event ID: 628574	scintillation events:4984	Cerenkov events: 99
event ID: 649134	scintillation events:3590	Cerenkov events: 92
event ID: 653487	scintillation events:3107	Cerenkov events: 101
event ID: 678173	scintillation events:868	Cerenkov events: 22
event ID: 688517	scintillation events:2701	Cerenkov events: 61
event ID: 691915	scintillation events:597	Cerenkov events: 2
event ID: 694774	scintillation events:2720	Cerenkov events: 61
event ID: 711560	scintillation events:948	Cerenkov events: 25
event ID: 714599	scintillation events:4112	Cerenkov events: 61
event ID: 728677	scintillation events:252	Cerenkov events: 7
event ID: 728783	scintillation events:587	Cerenkov events: 19
event ID: 738870	scintillation events:296	Cerenkov events: 5
event ID: 742405	scintillation events:106	Cerenkov events: 0
event ID: 755526	scintillation events:66	Cerenkov events: 0
event ID: 762618	scintillation events:421	Cerenkov events: 10
event ID: 766228	scintillation events:232	Cerenkov events: 5
event ID: 797608	scintillation events:2995	Cerenkov events: 81
event ID: 810439	scintillation events:82	Cerenkov events: 0
event ID: 810484	scintillation events:110	Cerenkov events: 0
event ID: 819647	scintillation events:103	Cerenkov events: 0
event ID: 856292	scintillation events:81	Cerenkov events: 0
event ID: 866214	scintillation events:3327	Cerenkov events: 53
event ID: 877166	scintillation events:204	Cerenkov events: 0
event ID: 880235	scintillation events:67	Cerenkov events: 2
event ID: 882715	scintillation events:1610	Cerenkov events: 17
event ID: 897078	scintillation events:2937	Cerenkov events: 115
event ID: 929983	scintillation events:301	Cerenkov events: 0
event ID: 930178	scintillation events:85	Cerenkov events: 0
event ID: 932724	scintillation events:2494	Cerenkov events: 78
event ID: 946790	scintillation events:1669	Cerenkov events: 34
event ID: 946853	scintillation events:3124	Cerenkov events: 71
event ID: 951105	scintillation events:3101	Cerenkov events: 81
event ID: 957872	scintillation events:225	Cerenkov events: 0
event ID: 963197	scintillation events:135	Cerenkov events: 2
event ID: 974407	scintillation events:115	Cerenkov events: 0
event ID: 981127	scintillation events:389	Cerenkov events: 0
