event ID: 31652	scintillation events:3797	Cerenkov events: 92
event ID: 31668	scintillation events:65	Cerenkov events: 0
event ID: 46268	scintillation events:163	Cerenkov events: 0
event ID: 51623	scintillation events:302	Cerenkov events: 7
event ID: 62361	scintillation events:1781	Cerenkov events: 32
event ID: 62401	scintillation events:1257	Cerenkov events: 47
event ID: 66176	scintillation events:3013	Cerenkov events: 88
event ID: 73815	scintillation events:1158	Cerenkov events: 30
event ID: 88711	scintillation events:3538	Cerenkov events: 97
event ID: 106740	scintillation events:1515	Cerenkov events: 41
event ID: 122408	scintillation events:2566	Cerenkov events: 68
event ID: 217636	scintillation events:2860	Cerenkov events: 76
event ID: 247781	scintillation events:1610	Cerenkov events: 27
event ID: 254172	scintillation events:392	Cerenkov events: 11
event ID: 258928	scintillation events:37	Cerenkov events: 0
event ID: 300718	scintillation events:5960	Cerenkov events: 128
event ID: 319528	scintillation events:133	Cerenkov events: 0
event ID: 365281	scintillation events:4976	Cerenkov events: 124
event ID: 385321	scintillation events:312	Cerenkov events: 9
event ID: 388829	scintillation events:3218	Cerenkov events: 95
event ID: 392531	scintillation events:108	Cerenkov events: 0
event ID: 409848	scintillation events:96	Cerenkov events: 0
event ID: 444786	scintillation events:1543	Cerenkov events: 56
event ID: 449751	scintillation events:3311	Cerenkov events: 86
event ID: 460960	scintillation events:241	Cerenkov events: 0
event ID: 479277	scintillation events:1953	Cerenkov events: 61
event ID: 482716	scintillation events:43	Cerenkov events: 0
