event ID: 6395	scintillation events:314	Cerenkov events: 0
event ID: 9558	scintillation events:3632	Cerenkov events: 81
event ID: 15534	scintillation events:3717	Cerenkov events: 75
event ID: 27694	scintillation events:747	Cerenkov events: 27
event ID: 37416	scintillation events:867	Cerenkov events: 39
event ID: 64805	scintillation events:202	Cerenkov events: 0
event ID: 79354	scintillation events:733	Cerenkov events: 26
event ID: 107581	scintillation events:2327	Cerenkov events: 67
event ID: 143952	scintillation events:1444	Cerenkov events: 35
event ID: 147748	scintillation events:1185	Cerenkov events: 28
event ID: 160317	scintillation events:2667	Cerenkov events: 61
event ID: 169184	scintillation events:386	Cerenkov events: 9
event ID: 177201	scintillation events:5526	Cerenkov events: 129
event ID: 203151	scintillation events:3443	Cerenkov events: 66
event ID: 210502	scintillation events:235	Cerenkov events: 0
event ID: 217032	scintillation events:101	Cerenkov events: 0
event ID: 219419	scintillation events:2790	Cerenkov events: 82
event ID: 225089	scintillation events:3699	Cerenkov events: 63
event ID: 243377	scintillation events:116	Cerenkov events: 0
event ID: 319528	scintillation events:148	Cerenkov events: 0
event ID: 326749	scintillation events:1788	Cerenkov events: 38
event ID: 341931	scintillation events:96	Cerenkov events: 0
event ID: 341999	scintillation events:616	Cerenkov events: 18
event ID: 357057	scintillation events:3879	Cerenkov events: 101
event ID: 365281	scintillation events:518	Cerenkov events: 11
event ID: 365470	scintillation events:2477	Cerenkov events: 77
event ID: 375925	scintillation events:2852	Cerenkov events: 58
event ID: 376023	scintillation events:185	Cerenkov events: 0
event ID: 376051	scintillation events:2255	Cerenkov events: 44
event ID: 382598	scintillation events:2446	Cerenkov events: 68
event ID: 388022	scintillation events:944	Cerenkov events: 16
event ID: 394252	scintillation events:341	Cerenkov events: 17
event ID: 415485	scintillation events:251	Cerenkov events: 7
event ID: 438791	scintillation events:949	Cerenkov events: 18
event ID: 438827	scintillation events:1805	Cerenkov events: 41
event ID: 453416	scintillation events:2605	Cerenkov events: 69
event ID: 476005	scintillation events:610	Cerenkov events: 16
event ID: 486229	scintillation events:49	Cerenkov events: 0
event ID: 495420	scintillation events:99	Cerenkov events: 0
event ID: 511372	scintillation events:5137	Cerenkov events: 115
event ID: 541060	scintillation events:2280	Cerenkov events: 73
event ID: 559597	scintillation events:117	Cerenkov events: 3
event ID: 559714	scintillation events:2404	Cerenkov events: 61
event ID: 575979	scintillation events:2269	Cerenkov events: 51
event ID: 583355	scintillation events:5464	Cerenkov events: 123
event ID: 614573	scintillation events:66	Cerenkov events: 0
event ID: 631648	scintillation events:1528	Cerenkov events: 40
event ID: 640185	scintillation events:1069	Cerenkov events: 36
event ID: 651570	scintillation events:40	Cerenkov events: 0
event ID: 693284	scintillation events:2575	Cerenkov events: 82
event ID: 705879	scintillation events:4882	Cerenkov events: 80
event ID: 730279	scintillation events:6997	Cerenkov events: 150
event ID: 741557	scintillation events:72	Cerenkov events: 0
event ID: 753613	scintillation events:147	Cerenkov events: 4
event ID: 802957	scintillation events:482	Cerenkov events: 11
event ID: 821210	scintillation events:639	Cerenkov events: 10
event ID: 829231	scintillation events:132	Cerenkov events: 0
event ID: 833646	scintillation events:2214	Cerenkov events: 65
event ID: 848561	scintillation events:489	Cerenkov events: 10
event ID: 883015	scintillation events:1107	Cerenkov events: 12
event ID: 893428	scintillation events:3745	Cerenkov events: 121
event ID: 893492	scintillation events:199	Cerenkov events: 5
event ID: 893573	scintillation events:3581	Cerenkov events: 63
event ID: 905436	scintillation events:2396	Cerenkov events: 49
event ID: 941111	scintillation events:928	Cerenkov events: 21
event ID: 953199	scintillation events:119	Cerenkov events: 8
event ID: 968579	scintillation events:619	Cerenkov events: 14
event ID: 983552	scintillation events:622	Cerenkov events: 7
event ID: 997419	scintillation events:2331	Cerenkov events: 72
event ID: 997447	scintillation events:514	Cerenkov events: 11
event ID: 997475	scintillation events:1398	Cerenkov events: 35
