event ID: 16351	scintillation events:2012	Cerenkov events: 35
event ID: 24114	scintillation events:1659	Cerenkov events: 45
event ID: 41731	scintillation events:8	Cerenkov events: 0
event ID: 43629	scintillation events:583	Cerenkov events: 15
event ID: 66072	scintillation events:37	Cerenkov events: 0
event ID: 76409	scintillation events:2396	Cerenkov events: 77
event ID: 86832	scintillation events:1691	Cerenkov events: 32
event ID: 106343	scintillation events:7613	Cerenkov events: 214
event ID: 117620	scintillation events:3130	Cerenkov events: 87
event ID: 121977	scintillation events:79	Cerenkov events: 1
event ID: 130203	scintillation events:2702	Cerenkov events: 39
event ID: 135984	scintillation events:1515	Cerenkov events: 14
event ID: 172734	scintillation events:977	Cerenkov events: 7
event ID: 177201	scintillation events:5508	Cerenkov events: 115
event ID: 182209	scintillation events:918	Cerenkov events: 40
event ID: 185950	scintillation events:84	Cerenkov events: 0
event ID: 185974	scintillation events:4072	Cerenkov events: 93
event ID: 217439	scintillation events:1919	Cerenkov events: 31
event ID: 240422	scintillation events:274	Cerenkov events: 1
event ID: 242852	scintillation events:1465	Cerenkov events: 48
event ID: 250965	scintillation events:2555	Cerenkov events: 51
event ID: 263962	scintillation events:1829	Cerenkov events: 41
event ID: 284078	scintillation events:102	Cerenkov events: 0
event ID: 284096	scintillation events:2608	Cerenkov events: 79
event ID: 284169	scintillation events:2701	Cerenkov events: 83
event ID: 304140	scintillation events:23	Cerenkov events: 0
event ID: 308045	scintillation events:288	Cerenkov events: 16
event ID: 332618	scintillation events:55	Cerenkov events: 0
event ID: 342146	scintillation events:86	Cerenkov events: 0
event ID: 346554	scintillation events:8818	Cerenkov events: 201
event ID: 365763	scintillation events:165	Cerenkov events: 0
event ID: 372125	scintillation events:159	Cerenkov events: 0
event ID: 382598	scintillation events:3902	Cerenkov events: 73
event ID: 391807	scintillation events:2323	Cerenkov events: 63
event ID: 399999	scintillation events:6359	Cerenkov events: 124
event ID: 466741	scintillation events:317	Cerenkov events: 0
event ID: 466748	scintillation events:4483	Cerenkov events: 110
event ID: 479131	scintillation events:2461	Cerenkov events: 88
event ID: 483716	scintillation events:4008	Cerenkov events: 117
event ID: 483721	scintillation events:148	Cerenkov events: 0
event ID: 490962	scintillation events:103	Cerenkov events: 0
event ID: 495420	scintillation events:134	Cerenkov events: 0
