event ID: 3484	scintillation events:1072	Cerenkov events: 31
event ID: 5982	scintillation events:2786	Cerenkov events: 52
event ID: 9558	scintillation events:4886	Cerenkov events: 142
event ID: 20598	scintillation events:229	Cerenkov events: 0
event ID: 22965	scintillation events:282	Cerenkov events: 10
event ID: 23006	scintillation events:1743	Cerenkov events: 45
event ID: 41091	scintillation events:91	Cerenkov events: 0
event ID: 103444	scintillation events:653	Cerenkov events: 29
event ID: 105084	scintillation events:1947	Cerenkov events: 47
event ID: 131136	scintillation events:2729	Cerenkov events: 81
event ID: 151685	scintillation events:1925	Cerenkov events: 63
event ID: 154840	scintillation events:3568	Cerenkov events: 115
event ID: 159238	scintillation events:5614	Cerenkov events: 107
event ID: 170850	scintillation events:2563	Cerenkov events: 49
event ID: 170907	scintillation events:53	Cerenkov events: 1
event ID: 174628	scintillation events:3062	Cerenkov events: 98
event ID: 193955	scintillation events:74	Cerenkov events: 1
event ID: 206066	scintillation events:5740	Cerenkov events: 125
event ID: 218153	scintillation events:109	Cerenkov events: 0
event ID: 230639	scintillation events:5702	Cerenkov events: 111
event ID: 248139	scintillation events:142	Cerenkov events: 0
event ID: 254960	scintillation events:3331	Cerenkov events: 75
event ID: 259289	scintillation events:216	Cerenkov events: 0
event ID: 266254	scintillation events:733	Cerenkov events: 12
event ID: 266310	scintillation events:125	Cerenkov events: 0
event ID: 268795	scintillation events:158	Cerenkov events: 6
event ID: 286778	scintillation events:2820	Cerenkov events: 63
event ID: 304602	scintillation events:135	Cerenkov events: 0
event ID: 326812	scintillation events:353	Cerenkov events: 0
event ID: 326892	scintillation events:6998	Cerenkov events: 173
event ID: 339471	scintillation events:86	Cerenkov events: 0
event ID: 350095	scintillation events:320	Cerenkov events: 5
event ID: 368466	scintillation events:4132	Cerenkov events: 99
event ID: 379170	scintillation events:1134	Cerenkov events: 47
event ID: 390866	scintillation events:2282	Cerenkov events: 61
event ID: 391048	scintillation events:3183	Cerenkov events: 67
event ID: 403311	scintillation events:541	Cerenkov events: 16
event ID: 435848	scintillation events:2782	Cerenkov events: 65
event ID: 450107	scintillation events:82	Cerenkov events: 1
event ID: 457358	scintillation events:525	Cerenkov events: 12
event ID: 463214	scintillation events:2150	Cerenkov events: 45
event ID: 467732	scintillation events:2533	Cerenkov events: 52
event ID: 492079	scintillation events:11	Cerenkov events: 1
event ID: 497343	scintillation events:685	Cerenkov events: 21
