event ID: 13230	scintillation events:5863	Cerenkov events: 131
event ID: 20276	scintillation events:924	Cerenkov events: 26
event ID: 27694	scintillation events:923	Cerenkov events: 82
event ID: 42034	scintillation events:1856	Cerenkov events: 49
event ID: 104656	scintillation events:1146	Cerenkov events: 35
event ID: 107581	scintillation events:2178	Cerenkov events: 60
event ID: 113469	scintillation events:167	Cerenkov events: 0
event ID: 124829	scintillation events:394	Cerenkov events: 0
event ID: 136663	scintillation events:3175	Cerenkov events: 53
event ID: 146142	scintillation events:2353	Cerenkov events: 62
event ID: 149009	scintillation events:1087	Cerenkov events: 22
event ID: 155105	scintillation events:3973	Cerenkov events: 79
event ID: 171688	scintillation events:2905	Cerenkov events: 75
event ID: 199267	scintillation events:3312	Cerenkov events: 97
event ID: 245660	scintillation events:2725	Cerenkov events: 89
event ID: 245697	scintillation events:2008	Cerenkov events: 37
event ID: 265769	scintillation events:463	Cerenkov events: 3
event ID: 269610	scintillation events:64	Cerenkov events: 0
event ID: 276895	scintillation events:3097	Cerenkov events: 88
event ID: 285113	scintillation events:14	Cerenkov events: 1
event ID: 293212	scintillation events:2248	Cerenkov events: 44
event ID: 320554	scintillation events:504	Cerenkov events: 19
event ID: 336291	scintillation events:18	Cerenkov events: 0
event ID: 349625	scintillation events:5715	Cerenkov events: 197
event ID: 371657	scintillation events:595	Cerenkov events: 23
event ID: 402796	scintillation events:1990	Cerenkov events: 46
event ID: 405296	scintillation events:175	Cerenkov events: 6
event ID: 415485	scintillation events:5893	Cerenkov events: 166
event ID: 439043	scintillation events:38	Cerenkov events: 0
event ID: 447916	scintillation events:5230	Cerenkov events: 134
event ID: 456262	scintillation events:363	Cerenkov events: 15
event ID: 456333	scintillation events:75	Cerenkov events: 1
event ID: 460297	scintillation events:55	Cerenkov events: 2
event ID: 473347	scintillation events:359	Cerenkov events: 2
event ID: 476005	scintillation events:261	Cerenkov events: 13
event ID: 485205	scintillation events:2124	Cerenkov events: 66
