event ID: 8173	scintillation events:108	Cerenkov events: 0
event ID: 8321	scintillation events:954	Cerenkov events: 10
event ID: 27753	scintillation events:4927	Cerenkov events: 128
event ID: 49307	scintillation events:1816	Cerenkov events: 52
event ID: 49328	scintillation events:4936	Cerenkov events: 106
event ID: 65591	scintillation events:2088	Cerenkov events: 64
event ID: 104124	scintillation events:328	Cerenkov events: 0
event ID: 104243	scintillation events:4125	Cerenkov events: 65
event ID: 107771	scintillation events:2516	Cerenkov events: 68
event ID: 111912	scintillation events:2440	Cerenkov events: 75
event ID: 127355	scintillation events:3282	Cerenkov events: 66
event ID: 165193	scintillation events:4644	Cerenkov events: 102
event ID: 165195	scintillation events:199	Cerenkov events: 7
event ID: 180854	scintillation events:504	Cerenkov events: 0
event ID: 188527	scintillation events:4328	Cerenkov events: 86
event ID: 198232	scintillation events:2705	Cerenkov events: 77
event ID: 229989	scintillation events:2352	Cerenkov events: 69
event ID: 280111	scintillation events:54	Cerenkov events: 0
event ID: 280188	scintillation events:213	Cerenkov events: 8
event ID: 286596	scintillation events:2902	Cerenkov events: 28
event ID: 297317	scintillation events:1350	Cerenkov events: 45
event ID: 313434	scintillation events:69	Cerenkov events: 1
event ID: 327049	scintillation events:1995	Cerenkov events: 76
event ID: 333066	scintillation events:616	Cerenkov events: 2
event ID: 341860	scintillation events:6760	Cerenkov events: 146
event ID: 356184	scintillation events:27	Cerenkov events: 0
event ID: 361388	scintillation events:5888	Cerenkov events: 180
event ID: 369631	scintillation events:154	Cerenkov events: 0
event ID: 372552	scintillation events:5890	Cerenkov events: 101
event ID: 381766	scintillation events:2360	Cerenkov events: 81
event ID: 391634	scintillation events:9119	Cerenkov events: 204
event ID: 391671	scintillation events:1257	Cerenkov events: 41
event ID: 416654	scintillation events:293	Cerenkov events: 12
event ID: 436377	scintillation events:5632	Cerenkov events: 108
event ID: 436544	scintillation events:1240	Cerenkov events: 32
event ID: 447773	scintillation events:2319	Cerenkov events: 33
event ID: 454555	scintillation events:4349	Cerenkov events: 89
event ID: 466307	scintillation events:1799	Cerenkov events: 51
event ID: 466445	scintillation events:394	Cerenkov events: 1
event ID: 497598	scintillation events:419	Cerenkov events: 0
event ID: 502288	scintillation events:415	Cerenkov events: 0
event ID: 508194	scintillation events:3008	Cerenkov events: 81
event ID: 523755	scintillation events:1741	Cerenkov events: 26
event ID: 528642	scintillation events:3395	Cerenkov events: 84
event ID: 534068	scintillation events:2215	Cerenkov events: 57
event ID: 534182	scintillation events:41	Cerenkov events: 0
event ID: 538644	scintillation events:7783	Cerenkov events: 204
event ID: 543177	scintillation events:1747	Cerenkov events: 40
event ID: 571222	scintillation events:103	Cerenkov events: 0
event ID: 571231	scintillation events:122	Cerenkov events: 0
event ID: 581080	scintillation events:963	Cerenkov events: 21
event ID: 609719	scintillation events:1315	Cerenkov events: 52
event ID: 609744	scintillation events:7627	Cerenkov events: 194
event ID: 626458	scintillation events:2091	Cerenkov events: 74
event ID: 645019	scintillation events:184	Cerenkov events: 6
event ID: 663387	scintillation events:2491	Cerenkov events: 70
event ID: 698192	scintillation events:2843	Cerenkov events: 69
event ID: 710811	scintillation events:3343	Cerenkov events: 91
event ID: 714023	scintillation events:4832	Cerenkov events: 112
event ID: 723556	scintillation events:1395	Cerenkov events: 10
event ID: 738958	scintillation events:696	Cerenkov events: 11
event ID: 758537	scintillation events:434	Cerenkov events: 17
event ID: 771866	scintillation events:877	Cerenkov events: 21
event ID: 783727	scintillation events:1047	Cerenkov events: 46
event ID: 800547	scintillation events:59	Cerenkov events: 0
event ID: 812696	scintillation events:175	Cerenkov events: 1
event ID: 815513	scintillation events:6111	Cerenkov events: 129
event ID: 818804	scintillation events:213	Cerenkov events: 0
event ID: 840328	scintillation events:3107	Cerenkov events: 65
event ID: 854283	scintillation events:3688	Cerenkov events: 63
event ID: 865519	scintillation events:237	Cerenkov events: 0
event ID: 867567	scintillation events:187	Cerenkov events: 0
event ID: 892689	scintillation events:3717	Cerenkov events: 85
event ID: 895114	scintillation events:1624	Cerenkov events: 38
event ID: 905813	scintillation events:2644	Cerenkov events: 75
event ID: 969868	scintillation events:82	Cerenkov events: 0
event ID: 977862	scintillation events:1577	Cerenkov events: 41
event ID: 994699	scintillation events:2416	Cerenkov events: 57
event ID: 994720	scintillation events:26	Cerenkov events: 0
