event ID: 24748	scintillation events:201	Cerenkov events: 4
event ID: 27820	scintillation events:5554	Cerenkov events: 86
event ID: 47852	scintillation events:2689	Cerenkov events: 58
event ID: 54784	scintillation events:1462	Cerenkov events: 31
event ID: 115353	scintillation events:3627	Cerenkov events: 95
event ID: 126268	scintillation events:191	Cerenkov events: 4
event ID: 130985	scintillation events:75	Cerenkov events: 0
event ID: 160551	scintillation events:4931	Cerenkov events: 89
event ID: 160552	scintillation events:316	Cerenkov events: 0
event ID: 178833	scintillation events:247	Cerenkov events: 7
event ID: 192508	scintillation events:9009	Cerenkov events: 209
