5981	4.30972	1
21142	3.29454	1
38190	3.74152	1
44328	7.87791	1
61665	5.76553	1
109488	7.63953	1
132994	6.80689	1
137250	7.99182	1
137251	7.72649	1
161067	7.50768	1
161174	3.73768	1
222930	7.99922	1
222934	8.0038	1
297061	7.22414	1
300146	6.74583	1
307812	4.60256	1
354109	3.87714	1
356324	7.83995	1
356482	3.99907	1
370527	5.35729	1
382458	7.48091	1
400299	6.73193	1
452093	5.87546	1
494688	4.58761	1
504989	5.79679	1
515434	2.3608	1
523579	2.43646	1
537755	7.5317	1
543861	7.10879	1
555198	1.7958	1
555198	1.6295	1
569955	8.10994	1
569996	3.63797	1
622802	7.48118	1
646907	5.36376	1
655193	3.72971	1
660592	4.23519	1
696615	7.11788	1
707398	7.61019	1
714450	7.79616	1
717969	1.97019	1
727636	2.31981	1
761091	7.98465	1
773976	6.29659	1
782698	2.0223	1
791532	1.85608	1
791532	0.197024	1
824357	6.75176	1
850539	7.00132	1
866319	2.68599	1
866537	4.01864	1
888161	5.98755	1
893306	4.66634	1
895816	7.87297	1
895817	7.9091	1
916776	7.29876	1
921026	6.93539	1
934245	8.03244	1
937544	7.08659	1
945312	5.08627	1
990140	3.48053	1
