event ID: 1387	scintillation events:2657	Cerenkov events: 85
event ID: 8408	scintillation events:1452	Cerenkov events: 36
event ID: 11419	scintillation events:2442	Cerenkov events: 74
event ID: 15596	scintillation events:5779	Cerenkov events: 106
event ID: 23540	scintillation events:24	Cerenkov events: 0
event ID: 27145	scintillation events:1722	Cerenkov events: 39
event ID: 30804	scintillation events:772	Cerenkov events: 20
event ID: 43007	scintillation events:2778	Cerenkov events: 72
event ID: 60308	scintillation events:1428	Cerenkov events: 39
event ID: 63918	scintillation events:5493	Cerenkov events: 137
event ID: 66682	scintillation events:4380	Cerenkov events: 85
event ID: 71168	scintillation events:3616	Cerenkov events: 113
event ID: 74781	scintillation events:2756	Cerenkov events: 77
event ID: 74835	scintillation events:2033	Cerenkov events: 61
event ID: 114252	scintillation events:510	Cerenkov events: 13
event ID: 114264	scintillation events:2320	Cerenkov events: 56
event ID: 119040	scintillation events:2971	Cerenkov events: 86
event ID: 139591	scintillation events:3781	Cerenkov events: 74
event ID: 169970	scintillation events:11	Cerenkov events: 1
event ID: 169986	scintillation events:1878	Cerenkov events: 66
event ID: 176926	scintillation events:2501	Cerenkov events: 66
event ID: 194699	scintillation events:4521	Cerenkov events: 102
event ID: 217997	scintillation events:3090	Cerenkov events: 83
event ID: 242054	scintillation events:299	Cerenkov events: 5
event ID: 242117	scintillation events:2963	Cerenkov events: 89
event ID: 242168	scintillation events:3406	Cerenkov events: 80
event ID: 277158	scintillation events:2759	Cerenkov events: 73
event ID: 281588	scintillation events:3181	Cerenkov events: 92
event ID: 291665	scintillation events:1360	Cerenkov events: 12
event ID: 298920	scintillation events:1754	Cerenkov events: 51
event ID: 308720	scintillation events:1869	Cerenkov events: 69
event ID: 322487	scintillation events:1463	Cerenkov events: 47
event ID: 353209	scintillation events:2354	Cerenkov events: 58
event ID: 362979	scintillation events:364	Cerenkov events: 13
event ID: 372953	scintillation events:1266	Cerenkov events: 48
event ID: 375765	scintillation events:754	Cerenkov events: 19
event ID: 397220	scintillation events:3173	Cerenkov events: 99
event ID: 397253	scintillation events:3172	Cerenkov events: 96
event ID: 397362	scintillation events:341	Cerenkov events: 9
event ID: 415663	scintillation events:2484	Cerenkov events: 81
event ID: 415732	scintillation events:26	Cerenkov events: 0
event ID: 430159	scintillation events:56	Cerenkov events: 0
event ID: 448261	scintillation events:2141	Cerenkov events: 62
event ID: 481291	scintillation events:2005	Cerenkov events: 59
event ID: 487191	scintillation events:3174	Cerenkov events: 92
event ID: 503087	scintillation events:363	Cerenkov events: 2
event ID: 507272	scintillation events:6265	Cerenkov events: 177
event ID: 514580	scintillation events:48	Cerenkov events: 0
event ID: 514605	scintillation events:329	Cerenkov events: 11
event ID: 522103	scintillation events:1136	Cerenkov events: 42
event ID: 566819	scintillation events:2445	Cerenkov events: 49
event ID: 566935	scintillation events:3379	Cerenkov events: 107
event ID: 567015	scintillation events:1768	Cerenkov events: 31
event ID: 575586	scintillation events:87	Cerenkov events: 0
event ID: 575594	scintillation events:2504	Cerenkov events: 63
event ID: 586717	scintillation events:2816	Cerenkov events: 71
event ID: 586743	scintillation events:870	Cerenkov events: 23
event ID: 586745	scintillation events:2078	Cerenkov events: 62
event ID: 591698	scintillation events:2112	Cerenkov events: 64
event ID: 591747	scintillation events:5581	Cerenkov events: 134
event ID: 602491	scintillation events:2584	Cerenkov events: 59
event ID: 611730	scintillation events:6	Cerenkov events: 0
event ID: 618163	scintillation events:6603	Cerenkov events: 180
event ID: 631994	scintillation events:1557	Cerenkov events: 37
event ID: 638712	scintillation events:2817	Cerenkov events: 53
event ID: 643113	scintillation events:1268	Cerenkov events: 33
event ID: 671545	scintillation events:3486	Cerenkov events: 93
event ID: 676326	scintillation events:84	Cerenkov events: 0
event ID: 696967	scintillation events:2879	Cerenkov events: 51
event ID: 697196	scintillation events:4126	Cerenkov events: 101
event ID: 700717	scintillation events:4237	Cerenkov events: 90
event ID: 700797	scintillation events:3318	Cerenkov events: 57
event ID: 707728	scintillation events:221	Cerenkov events: 7
event ID: 710628	scintillation events:172	Cerenkov events: 5
event ID: 737408	scintillation events:2344	Cerenkov events: 58
event ID: 750448	scintillation events:3821	Cerenkov events: 69
event ID: 759378	scintillation events:4615	Cerenkov events: 102
event ID: 778708	scintillation events:3613	Cerenkov events: 83
event ID: 782889	scintillation events:704	Cerenkov events: 15
event ID: 788840	scintillation events:3879	Cerenkov events: 87
event ID: 796241	scintillation events:3830	Cerenkov events: 80
event ID: 801124	scintillation events:6735	Cerenkov events: 136
event ID: 820837	scintillation events:60	Cerenkov events: 0
event ID: 846130	scintillation events:1380	Cerenkov events: 35
event ID: 862533	scintillation events:2082	Cerenkov events: 68
event ID: 895598	scintillation events:3483	Cerenkov events: 92
event ID: 910633	scintillation events:132	Cerenkov events: 8
event ID: 922979	scintillation events:1129	Cerenkov events: 29
event ID: 922997	scintillation events:2195	Cerenkov events: 61
event ID: 951307	scintillation events:1464	Cerenkov events: 46
event ID: 963772	scintillation events:2660	Cerenkov events: 61
event ID: 975412	scintillation events:1453	Cerenkov events: 47
event ID: 978457	scintillation events:213	Cerenkov events: 0
event ID: 986998	scintillation events:2877	Cerenkov events: 47
