event ID: 84056	Primary scintillation events:5058	Primary Cerenkov events: 18	Secondary Scintillation events: 118432	Secondary Cerenkov Events: 49
event ID: 85962	Primary scintillation events:3845	Primary Cerenkov events: 40	Secondary Scintillation events: 119978	Secondary Cerenkov Events: 49
event ID: 87285	Primary scintillation events:3417	Primary Cerenkov events: 30	Secondary Scintillation events: 120987	Secondary Cerenkov Events: 49
event ID: 87313	Primary scintillation events:8653	Primary Cerenkov events: 37	Secondary Scintillation events: 122879	Secondary Cerenkov Events: 49
event ID: 87346	Primary scintillation events:3720	Primary Cerenkov events: 31	Secondary Scintillation events: 124927	Secondary Cerenkov Events: 49
event ID: 88774	Primary scintillation events:3694	Primary Cerenkov events: 39	Secondary Scintillation events: 126493	Secondary Cerenkov Events: 49
event ID: 90289	Primary scintillation events:7264	Primary Cerenkov events: 41	Secondary Scintillation events: 129077	Secondary Cerenkov Events: 49
event ID: 90327	Primary scintillation events:3847	Primary Cerenkov events: 32	Secondary Scintillation events: 130511	Secondary Cerenkov Events: 49
event ID: 93005	Primary scintillation events:4853	Primary Cerenkov events: 52	Secondary Scintillation events: 132510	Secondary Cerenkov Events: 49
event ID: 93076	Primary scintillation events:3596	Primary Cerenkov events: 36	Secondary Scintillation events: 133820	Secondary Cerenkov Events: 49
event ID: 95753	Primary scintillation events:4098	Primary Cerenkov events: 15	Secondary Scintillation events: 134722	Secondary Cerenkov Events: 49
event ID: 95798	Primary scintillation events:3353	Primary Cerenkov events: 33	Secondary Scintillation events: 135921	Secondary Cerenkov Events: 49
event ID: 97117	Primary scintillation events:3634	Primary Cerenkov events: 39	Secondary Scintillation events: 141827	Secondary Cerenkov Events: 59
event ID: 97995	Primary scintillation events:3552	Primary Cerenkov events: 25	Secondary Scintillation events: 142923	Secondary Cerenkov Events: 59
