event ID: 11584	scintillation events:3773	Cerenkov events: 71
event ID: 17653	scintillation events:8540	Cerenkov events: 205
event ID: 40420	scintillation events:198	Cerenkov events: 0
event ID: 45084	scintillation events:438	Cerenkov events: 0
event ID: 47400	scintillation events:887	Cerenkov events: 8
event ID: 55029	scintillation events:5045	Cerenkov events: 94
event ID: 60293	scintillation events:135	Cerenkov events: 0
event ID: 63057	scintillation events:1824	Cerenkov events: 54
event ID: 63140	scintillation events:4385	Cerenkov events: 85
event ID: 96118	scintillation events:105	Cerenkov events: 0
event ID: 121104	scintillation events:2865	Cerenkov events: 60
event ID: 144327	scintillation events:2438	Cerenkov events: 72
event ID: 153631	scintillation events:121	Cerenkov events: 0
event ID: 153805	scintillation events:2802	Cerenkov events: 99
event ID: 164664	scintillation events:2392	Cerenkov events: 53
event ID: 192226	scintillation events:2285	Cerenkov events: 55
event ID: 192296	scintillation events:56	Cerenkov events: 0
event ID: 197726	scintillation events:754	Cerenkov events: 22
event ID: 197780	scintillation events:1667	Cerenkov events: 48
event ID: 206197	scintillation events:2482	Cerenkov events: 57
event ID: 209667	scintillation events:2644	Cerenkov events: 79
event ID: 215587	scintillation events:137	Cerenkov events: 7
event ID: 225847	scintillation events:1625	Cerenkov events: 37
event ID: 228322	scintillation events:2655	Cerenkov events: 67
event ID: 242103	scintillation events:2281	Cerenkov events: 78
event ID: 254223	scintillation events:34	Cerenkov events: 0
event ID: 254326	scintillation events:601	Cerenkov events: 16
event ID: 256795	scintillation events:3003	Cerenkov events: 81
event ID: 260724	scintillation events:1750	Cerenkov events: 44
event ID: 260832	scintillation events:148	Cerenkov events: 5
event ID: 280494	scintillation events:131	Cerenkov events: 2
event ID: 318174	scintillation events:176	Cerenkov events: 0
event ID: 332350	scintillation events:1793	Cerenkov events: 25
event ID: 335317	scintillation events:3868	Cerenkov events: 100
event ID: 348161	scintillation events:2410	Cerenkov events: 86
event ID: 363928	scintillation events:180	Cerenkov events: 0
event ID: 372526	scintillation events:73	Cerenkov events: 0
event ID: 402857	scintillation events:1439	Cerenkov events: 38
event ID: 412159	scintillation events:2152	Cerenkov events: 66
event ID: 444093	scintillation events:442	Cerenkov events: 16
event ID: 450001	scintillation events:2448	Cerenkov events: 77
event ID: 457448	scintillation events:936	Cerenkov events: 9
event ID: 495206	scintillation events:3788	Cerenkov events: 82
event ID: 499117	scintillation events:268	Cerenkov events: 0
