event ID: 4902	scintillation events:2062	Cerenkov events: 55
event ID: 25759	scintillation events:132	Cerenkov events: 0
event ID: 25897	scintillation events:63	Cerenkov events: 0
event ID: 25913	scintillation events:411	Cerenkov events: 9
event ID: 46306	scintillation events:56	Cerenkov events: 0
event ID: 56350	scintillation events:505	Cerenkov events: 14
event ID: 67429	scintillation events:359	Cerenkov events: 0
event ID: 73035	scintillation events:1424	Cerenkov events: 24
event ID: 75845	scintillation events:944	Cerenkov events: 11
event ID: 80119	scintillation events:2103	Cerenkov events: 30
event ID: 80224	scintillation events:6688	Cerenkov events: 175
event ID: 112325	scintillation events:240	Cerenkov events: 0
event ID: 125831	scintillation events:283	Cerenkov events: 10
event ID: 132419	scintillation events:813	Cerenkov events: 7
event ID: 140900	scintillation events:3201	Cerenkov events: 74
event ID: 152526	scintillation events:113	Cerenkov events: 0
event ID: 155618	scintillation events:155	Cerenkov events: 0
event ID: 162654	scintillation events:1111	Cerenkov events: 21
event ID: 168855	scintillation events:2455	Cerenkov events: 56
event ID: 190247	scintillation events:6157	Cerenkov events: 132
event ID: 204576	scintillation events:3117	Cerenkov events: 75
event ID: 204758	scintillation events:2814	Cerenkov events: 61
event ID: 217407	scintillation events:2670	Cerenkov events: 78
event ID: 217417	scintillation events:1141	Cerenkov events: 38
event ID: 222852	scintillation events:2513	Cerenkov events: 83
event ID: 227101	scintillation events:2961	Cerenkov events: 96
event ID: 227130	scintillation events:38	Cerenkov events: 2
event ID: 230802	scintillation events:2036	Cerenkov events: 48
event ID: 237489	scintillation events:571	Cerenkov events: 4
event ID: 250836	scintillation events:134	Cerenkov events: 0
event ID: 253938	scintillation events:124	Cerenkov events: 0
event ID: 259465	scintillation events:2009	Cerenkov events: 78
event ID: 279018	scintillation events:1608	Cerenkov events: 43
event ID: 279069	scintillation events:1551	Cerenkov events: 37
event ID: 288246	scintillation events:1229	Cerenkov events: 20
event ID: 290149	scintillation events:4748	Cerenkov events: 141
event ID: 294527	scintillation events:1883	Cerenkov events: 47
event ID: 310831	scintillation events:5047	Cerenkov events: 118
event ID: 323765	scintillation events:1014	Cerenkov events: 38
event ID: 323969	scintillation events:187	Cerenkov events: 0
event ID: 341165	scintillation events:197	Cerenkov events: 9
event ID: 351964	scintillation events:2479	Cerenkov events: 61
event ID: 373964	scintillation events:126	Cerenkov events: 0
event ID: 391121	scintillation events:925	Cerenkov events: 29
event ID: 391212	scintillation events:603	Cerenkov events: 0
event ID: 396794	scintillation events:111	Cerenkov events: 0
event ID: 404721	scintillation events:2023	Cerenkov events: 28
event ID: 412159	scintillation events:3180	Cerenkov events: 75
event ID: 419744	scintillation events:782	Cerenkov events: 27
