event ID: 22234	scintillation events:949	Cerenkov events: 25
event ID: 22322	scintillation events:1947	Cerenkov events: 32
event ID: 27301	scintillation events:1063	Cerenkov events: 40
event ID: 27349	scintillation events:298	Cerenkov events: 0
event ID: 40562	scintillation events:912	Cerenkov events: 10
event ID: 43581	scintillation events:636	Cerenkov events: 20
event ID: 51867	scintillation events:1765	Cerenkov events: 50
event ID: 65833	scintillation events:2615	Cerenkov events: 73
event ID: 69741	scintillation events:279	Cerenkov events: 4
event ID: 69945	scintillation events:66	Cerenkov events: 0
event ID: 72963	scintillation events:702	Cerenkov events: 33
event ID: 86324	scintillation events:86	Cerenkov events: 0
event ID: 123160	scintillation events:139	Cerenkov events: 8
event ID: 125896	scintillation events:382	Cerenkov events: 0
event ID: 126044	scintillation events:908	Cerenkov events: 11
event ID: 130470	scintillation events:2856	Cerenkov events: 75
event ID: 136793	scintillation events:1011	Cerenkov events: 11
event ID: 143394	scintillation events:107	Cerenkov events: 0
event ID: 146865	scintillation events:7354	Cerenkov events: 152
event ID: 152817	scintillation events:2198	Cerenkov events: 63
event ID: 156774	scintillation events:311	Cerenkov events: 0
event ID: 160897	scintillation events:2948	Cerenkov events: 51
event ID: 165659	scintillation events:416	Cerenkov events: 3
event ID: 179469	scintillation events:2106	Cerenkov events: 69
event ID: 184695	scintillation events:2302	Cerenkov events: 67
event ID: 188949	scintillation events:106	Cerenkov events: 0
event ID: 189173	scintillation events:207	Cerenkov events: 5
event ID: 189207	scintillation events:4080	Cerenkov events: 89
event ID: 204246	scintillation events:2803	Cerenkov events: 89
event ID: 208033	scintillation events:742	Cerenkov events: 5
event ID: 208104	scintillation events:70	Cerenkov events: 0
event ID: 215831	scintillation events:4110	Cerenkov events: 89
event ID: 233755	scintillation events:188	Cerenkov events: 0
event ID: 238160	scintillation events:3341	Cerenkov events: 93
event ID: 252885	scintillation events:4723	Cerenkov events: 98
event ID: 269198	scintillation events:984	Cerenkov events: 26
event ID: 269276	scintillation events:241	Cerenkov events: 2
event ID: 272579	scintillation events:3315	Cerenkov events: 107
event ID: 277940	scintillation events:2639	Cerenkov events: 50
event ID: 283939	scintillation events:833	Cerenkov events: 33
event ID: 294775	scintillation events:158	Cerenkov events: 3
event ID: 318985	scintillation events:586	Cerenkov events: 10
event ID: 325717	scintillation events:1050	Cerenkov events: 42
event ID: 329034	scintillation events:1191	Cerenkov events: 51
event ID: 339490	scintillation events:108	Cerenkov events: 0
event ID: 341456	scintillation events:1242	Cerenkov events: 61
event ID: 351312	scintillation events:2532	Cerenkov events: 71
event ID: 362622	scintillation events:2630	Cerenkov events: 66
event ID: 362803	scintillation events:211	Cerenkov events: 2
event ID: 376530	scintillation events:1298	Cerenkov events: 12
event ID: 384941	scintillation events:253	Cerenkov events: 0
event ID: 398612	scintillation events:2406	Cerenkov events: 42
event ID: 398743	scintillation events:2648	Cerenkov events: 79
event ID: 410865	scintillation events:1691	Cerenkov events: 24
event ID: 414335	scintillation events:2554	Cerenkov events: 57
event ID: 417608	scintillation events:6391	Cerenkov events: 140
event ID: 417662	scintillation events:60	Cerenkov events: 0
event ID: 432585	scintillation events:125	Cerenkov events: 0
event ID: 460071	scintillation events:6491	Cerenkov events: 134
event ID: 482124	scintillation events:3398	Cerenkov events: 92
event ID: 482273	scintillation events:311	Cerenkov events: 0
event ID: 494606	scintillation events:1965	Cerenkov events: 78
event ID: 512099	scintillation events:2469	Cerenkov events: 84
event ID: 522455	scintillation events:291	Cerenkov events: 10
event ID: 528123	scintillation events:99	Cerenkov events: 0
event ID: 534438	scintillation events:3315	Cerenkov events: 110
event ID: 540735	scintillation events:2619	Cerenkov events: 96
event ID: 544882	scintillation events:3363	Cerenkov events: 90
event ID: 558930	scintillation events:3955	Cerenkov events: 91
event ID: 575608	scintillation events:2327	Cerenkov events: 69
event ID: 589636	scintillation events:36	Cerenkov events: 0
event ID: 592307	scintillation events:3966	Cerenkov events: 104
event ID: 598094	scintillation events:129	Cerenkov events: 0
event ID: 598118	scintillation events:7636	Cerenkov events: 166
event ID: 611449	scintillation events:4696	Cerenkov events: 173
event ID: 619004	scintillation events:711	Cerenkov events: 23
event ID: 619140	scintillation events:121	Cerenkov events: 0
