event ID: 1181	scintillation events:2228	Cerenkov events: 72
event ID: 10174	scintillation events:857	Cerenkov events: 25
event ID: 16081	scintillation events:255	Cerenkov events: 0
event ID: 22419	scintillation events:1884	Cerenkov events: 50
event ID: 31902	scintillation events:3262	Cerenkov events: 114
event ID: 36579	scintillation events:1267	Cerenkov events: 49
event ID: 52232	scintillation events:291	Cerenkov events: 10
event ID: 56910	scintillation events:344	Cerenkov events: 7
event ID: 87562	scintillation events:277	Cerenkov events: 0
event ID: 87618	scintillation events:5345	Cerenkov events: 127
event ID: 87646	scintillation events:253	Cerenkov events: 0
event ID: 117365	scintillation events:353	Cerenkov events: 0
event ID: 120150	scintillation events:645	Cerenkov events: 31
event ID: 121707	scintillation events:784	Cerenkov events: 19
event ID: 133479	scintillation events:4135	Cerenkov events: 69
event ID: 157313	scintillation events:2332	Cerenkov events: 76
event ID: 164387	scintillation events:6287	Cerenkov events: 121
event ID: 178737	scintillation events:1821	Cerenkov events: 45
event ID: 190390	scintillation events:69	Cerenkov events: 0
event ID: 193201	scintillation events:2257	Cerenkov events: 91
event ID: 196870	scintillation events:1303	Cerenkov events: 31
event ID: 225608	scintillation events:2765	Cerenkov events: 84
event ID: 230376	scintillation events:2847	Cerenkov events: 78
event ID: 233795	scintillation events:46	Cerenkov events: 0
event ID: 239147	scintillation events:2582	Cerenkov events: 87
event ID: 251197	scintillation events:4017	Cerenkov events: 62
event ID: 256517	scintillation events:2507	Cerenkov events: 87
event ID: 260491	scintillation events:898	Cerenkov events: 28
event ID: 281186	scintillation events:2882	Cerenkov events: 82
event ID: 287101	scintillation events:2410	Cerenkov events: 68
event ID: 300282	scintillation events:433	Cerenkov events: 6
event ID: 314016	scintillation events:1599	Cerenkov events: 23
event ID: 328011	scintillation events:870	Cerenkov events: 24
event ID: 332569	scintillation events:685	Cerenkov events: 17
event ID: 353136	scintillation events:1660	Cerenkov events: 19
event ID: 385153	scintillation events:85	Cerenkov events: 0
event ID: 387476	scintillation events:107	Cerenkov events: 3
event ID: 392448	scintillation events:157	Cerenkov events: 0
event ID: 398794	scintillation events:8317	Cerenkov events: 183
event ID: 419509	scintillation events:157	Cerenkov events: 0
event ID: 480517	scintillation events:1694	Cerenkov events: 41
event ID: 489770	scintillation events:220	Cerenkov events: 0
